KodeNegara,Year,GDP,Growth
YEM,2021,62148000000.0,-0.01
YEM,2022,67521000000.0,0.015
YEM,2023,68583000000.0,-0.02
YEM,2024,69535000000.0,-0.01
ZMB,2020,63502000000.0,-0.0279999999999999
ZMB,2021,70555000000.0,0.062
ZMB,2022,79487000000.0,0.052
ZMB,2023,85951000000.0,0.043
ZMB,2024,92175000000.0,0.047
ZWE,2020,32887000000.0,-0.078
ZWE,2021,37293000000.0,0.084
ZWE,2022,42507000000.0,0.065
ZWE,2023,46397000000.0,0.053
ZWE,2024,49035000000.0,0.032
